Year,Quarter,State,Tax_Category,Tax_Code,Amount
2004,1,Indiana,Motor fuel sales taxes,T13,191626.0
2004,1,Indiana,Pari-mutuels,T14,1351.0
2004,1,Indiana,Public utilities,T15,2402.0
2004,1,Indiana,Tobacco products,T16,75871.0
2004,1,Indiana,Other selective sales and gross receipts,T19,1729.0
2004,1,Indiana,Alcoholic beverages,T20,2520.0
2004,1,Indiana,Amusements,T21,335.0
2004,1,Indiana,Corporations in general,T22,1209.0
2004,1,Indiana,Hunting and fishing licenses,T23,3367.0
2004,1,Indiana,Motor vehicles,T24,52661.0
2004,1,Indiana,Motor vehicle operator,T25,77810.0
2004,1,Indiana,Public utilities,T27,0.0
2004,1,Indiana,Occupation and business licenses,T28,8937.0
2004,1,Indiana,Other licenses taxes,T29,415.0
2004,1,Indiana,Individual income taxes,T40,845346.0
2004,1,Indiana,Corporation net income taxes,T41,73969.0
2004,1,Indiana,Death and gift taxes,T50,35548.0
2004,1,Indiana,Documentary and stock transfer taxes,T51,0.0
2004,1,Indiana,Severance taxes,T53,141.0
2004,1,Indiana,Other miscellaneous taxes,T99,0.0
2004,1,Iowa,Property tax,T01,0.0
2004,1,Iowa,General sales and gross receipts,T09,465383.0
2004,1,Iowa,Alcoholic beverages,T10,3078.0
2004,1,Iowa,Amusements,T11,49728.0
2004,1,Iowa,Insurance,T12,61382.0
2004,1,Iowa,Motor fuel sales taxes,T13,102009.0
2004,1,Iowa,Pari-mutuels,T14,1048.0
2004,1,Iowa,Public utilities,T15,0.0
2004,1,Iowa,Tobacco products,T16,22303.0
2004,1,Iowa,Other selective sales and gross receipts,T19,0.0
2004,1,Iowa,Alcoholic beverages,T20,2407.0
2004,1,Iowa,Amusements,T21,1715.0
2004,1,Iowa,Corporations in general,T22,7907.0
2004,1,Iowa,Hunting and fishing licenses,T23,3796.0
2004,1,Iowa,Motor vehicles,T24,120883.0
2004,1,Iowa,Motor vehicle operator,T25,4994.0
2004,1,Iowa,Public utilities,T27,1779.0
2004,1,Iowa,Occupation and business licenses,T28,25516.0
2004,1,Iowa,Other licenses taxes,T29,438.0
2004,1,Iowa,Individual income taxes,T40,378206.0
2004,1,Iowa,Corporation net income taxes,T41,30923.0
2004,1,Iowa,Death and gift taxes,T50,18499.0
2004,1,Iowa,Documentary and stock transfer taxes,T51,3180.0
2004,1,Iowa,Severance taxes,T53,0.0
2004,1,Iowa,Other miscellaneous taxes,T99,0.0
2004,1,Kansas,Property tax,T01,15114.0
2004,1,Kansas,General sales and gross receipts,T09,476789.0
2004,1,Kansas,Alcoholic beverages,T10,21239.0
2004,1,Kansas,Amusements,T11,157.0
2004,1,Kansas,Insurance,T12,37126.0
2004,1,Kansas,Motor fuel sales taxes,T13,102800.0
2004,1,Kansas,Pari-mutuels,T14,872.0
2004,1,Kansas,Public utilities,T15,0.0
2004,1,Kansas,Tobacco products,T16,28303.0
2004,1,Kansas,Other selective sales and gross receipts,T19,4584.0
2004,1,Kansas,Alcoholic beverages,T20,617.0
2004,1,Kansas,Amusements,T21,50.0
2004,1,Kansas,Corporations in general,T22,11627.0
2004,1,Kansas,Hunting and fishing licenses,T23,4462.0
2004,1,Kansas,Motor vehicles,T24,57217.0
2004,1,Kansas,Motor vehicle operator,T25,4250.0
2004,1,Kansas,Public utilities,T27,1095.0
2004,1,Kansas,Occupation and business licenses,T28,5417.0
2004,1,Kansas,Other licenses taxes,T29,504.0
2004,1,Kansas,Individual income taxes,T40,362106.0
2004,1,Kansas,Corporation net income taxes,T41,19372.0
2004,1,Kansas,Death and gift taxes,T50,15208.0
